內包裝完成品SKU,內包裝完成品名稱,適用包裝規格,耗材項次,內包裝耗材SKU,內包裝耗材名稱,每1單位內包裝完成品需用耗材數量,耗材扣帳單位,適用情境,狀態,生效日,失效日,停用原因,來源建立方式,備註
C3001,瓦片-巧克力-單片,單片 / 約8g,1,PK0040,餅乾袋 - 金色(單片),1,個,杏仁瓦片單片內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 片使用 1 個袋
C4001,瓦片-海苔-單片,單片 / 約8g,1,PK0040,餅乾袋 - 金色(單片),1,個,杏仁瓦片單片內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 片使用 1 個袋
C5001,瓦片-抹茶-單片,單片 / 約8g,1,PK0040,餅乾袋 - 金色(單片),1,個,杏仁瓦片單片內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 片使用 1 個袋
C6001,瓦片-黑糖-單片,單片 / 約8g,1,PK0040,餅乾袋 - 金色(單片),1,個,杏仁瓦片單片內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 片使用 1 個袋
C7001,瓦片-青花椒-單片,單片 / 約8g,1,PK0040,餅乾袋 - 金色(單片),1,個,杏仁瓦片單片內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 片使用 1 個袋
M1,瑪德蓮-蜂蜜,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
M2,瑪德蓮-巧克力,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
M3,瑪德蓮-紅茶,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
M4,瑪德蓮-抹茶,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
M5,瑪德蓮-柑橘,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
M6,瑪德蓮-檸檬,單個,1,PK0041,蛋糕袋 - 紫色,1,個,瑪德蓮單個內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 個瑪德蓮使用 1 個袋
Y1,★中東椰棗,300g / 約25個 / 每顆約12g,1,PK0042,椰棗小霧袋,1,個,300g 中東椰棗袋裝內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
Y2,椰棗豆子,150g / 約15個 / 每顆約10g,1,PK0042,椰棗小霧袋,1,個,150g 椰棗豆子袋裝內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,椰棗夏威夷豆視同椰棗豆子；每 1 包使用 1 個袋
Y3,椰棗腰果,150g / 約15個 / 每顆約10g,1,PK0042,椰棗小霧袋,1,個,150g 椰棗腰果袋裝內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
Y4,椰棗杏仁,150g / 約15個 / 每顆約10g,1,PK0042,椰棗小霧袋,1,個,150g 椰棗杏仁袋裝內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
Y5,椰棗核桃,150g / 約15個 / 每顆約10g,1,PK0042,椰棗小霧袋,1,個,150g 椰棗核桃袋裝內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
S1,牛奶糖,200g / 約20個 / 每顆約10g,1,PK0043,糖果袋 - 牛奶糖(單顆),1,個,200g 牛奶糖內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,50g 牛奶糖屬 sellable 直接包裝，不納入本表
S1010,牛奶糖-100g,100g / 約10個 / 每顆約10g,1,PK0043,糖果袋 - 牛奶糖(單顆),1,個,100g 牛奶糖內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
S2,南棗核桃糕,200g / 約15個 / 每顆約15g,1,PK0044,糖果袋 - 核桃糕(單顆),1,個,200g 南棗核桃糕內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
S2010,南棗核桃糕-100g,100g / 約7個 / 每顆約15g,1,PK0044,糖果袋 - 核桃糕(單顆),1,個,100g 南棗核桃糕內包裝,啟用,2026/3/26,,,2026-03-31 規則補登,每 1 包使用 1 個袋
,,,,,,,,,,,,,,
