銷售分類,銷售商品名稱,販售規格,禮盒／組合判定,建議組成類型,銷售商品SKU_正式,組成項次,對應內包裝成品SKU,對應內包裝成品名稱,每1單位銷售商品需用內包裝數量,內包裝扣帳單位,是否需要外包裝組裝,外包裝材料SKU,外包裝材料名稱,外包裝材料數量,外包裝扣帳單位,備註,對應內包裝成品SKU_建議,對應內包裝成品名稱_建議,內包裝單位1_建議,內包裝單位2_建議
杏仁瓦片,瓦片-抹茶,135g,否,direct_from_inner,C50135,1,C5,瓦片-抹茶,135,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,C5,瓦片-抹茶,g,kg
杏仁瓦片,瓦片-黑糖,90g,否,direct_from_inner,C60090,1,C6,瓦片-黑糖,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,C6,瓦片-黑糖,g,kg
杏仁瓦片,瓦片-黑糖,135g,否,direct_from_inner,C60135,1,C6,瓦片-黑糖,135,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,C6,瓦片-黑糖,g,kg
杏仁瓦片,瓦片-青花椒,90g,否,direct_from_inner,C70090,1,C7,瓦片-青花椒,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,C7,瓦片-青花椒,g,kg
杏仁瓦片,瓦片-青花椒,135g,否,direct_from_inner,C70135,1,C7,瓦片-青花椒,135,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,C7,瓦片-青花椒,g,kg
奶油曲奇,奶油-焦糖牛奶,90g,否,direct_from_inner,Q10090,1,Q1,奶油-焦糖牛奶,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q1,奶油-焦糖牛奶,包,g
奶油曲奇,奶油-法國巧克力,90g,否,direct_from_inner,Q20090,1,Q2,奶油-法國巧克力,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q2,奶油-法國巧克力,包,g
奶油曲奇,奶油-法國巧克力,135g,否,direct_from_inner,Q20135,1,Q2,奶油-法國巧克力,135,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q2,奶油-法國巧克力,包,g
奶油曲奇,奶油-蜂蜜檸檬,90g,否,direct_from_inner,Q30090,1,Q3,奶油-蜂蜜檸檬,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q3,奶油-蜂蜜檸檬,包,g
奶油曲奇,奶油-伯爵紅茶,90g,否,direct_from_inner,Q40090,1,Q4,奶油-伯爵紅茶,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q4,奶油-伯爵紅茶,包,g
奶油曲奇,奶油-抹茶,90g,否,direct_from_inner,Q50090,1,Q5,奶油-抹茶,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,Q5,奶油-抹茶,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,1,C1,瓦片-原味,15,g,是,,,,,,C1,瓦片-原味,g,kg
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,2,G1,西點-巧克力貝殼,15,g,是,,,,,,G1,西點-巧克力貝殼,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,3,G2,西點-咖啡小花,15,g,是,,,,,,G2,西點-咖啡小花,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,4,G3,西點-藍莓小花,15,g,是,,,,,,G3,西點-藍莓小花,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,5,G4,西點-蔓越莓貝殼,15,g,是,,,,,,G4,西點-蔓越莓貝殼,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,6,G5,西點-乳酪酥條,15,g,是,,,,,,G5,西點-乳酪酥條,包,g
西點餅乾,西點-綜合,90g,組合／綜合,bundle,G00090,7,,,,,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,,,,
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,1,C1,瓦片-原味,22.5,g,是,,,,,,C1,瓦片-原味,g,kg
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,2,G1,西點-巧克力貝殼,22.5,g,是,,,,,,G1,西點-巧克力貝殼,包,g
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,3,G2,西點-咖啡小花,22.5,g,是,,,,,,G2,西點-咖啡小花,包,g
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,4,G3,西點-藍莓小花,22.5,g,是,,,,,,G3,西點-藍莓小花,包,g
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,5,G4,西點-蔓越莓貝殼,22.5,g,是,,,,,,G4,西點-蔓越莓貝殼,包,g
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,6,G5,西點-乳酪酥條,22.5,g,是,,,,,,G5,西點-乳酪酥條,包,g
西點餅乾,西點-綜合,135g,組合／綜合,bundle,G00135,7,,,,,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,,,,
西點餅乾,西點-巧克力貝殼,90g,否,direct_from_inner,G10090,1,G1,西點-巧克力貝殼,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G1,西點-巧克力貝殼,包,g
西點餅乾,西點-巧克力貝殼,135g,否,direct_from_inner,G10135,1,G1,西點-巧克力貝殼,135,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G1,西點-巧克力貝殼,包,g
西點餅乾,西點-咖啡小花,90g,否,direct_from_inner,G20090,1,G2,西點-咖啡小花,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G2,西點-咖啡小花,包,g
西點餅乾,西點-藍莓小花,90g,否,direct_from_inner,G30090,1,G3,西點-藍莓小花,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G3,西點-藍莓小花,包,g
西點餅乾,西點-蔓越莓貝殼,90g,否,direct_from_inner,G40090,1,G4,西點-蔓越莓貝殼,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G4,西點-蔓越莓貝殼,包,g
西點餅乾,西點-乳酪酥條,90g,否,direct_from_inner,G50090,1,G5,西點-乳酪酥條,90,g,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,G5,西點-乳酪酥條,包,g
千層餅乾,千層-小酥條,60g,否,no_inner_stage,T10060,1,,,,,是,PK0016,橫窗鋁箔夾鏈立袋,1,個,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,1,A1,豆塔-蔓越莓,2,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,2,A2,豆塔-焦糖,2,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,3,A3,豆塔-巧克力,2,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,4,A4,豆塔-抹茶,2,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,5,A5,豆塔-椒麻,2,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,6,B1,堅果塔-蜂蜜,1,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,7,B2,堅果塔-焦糖,1,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,8,B3,堅果塔-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,9,B4,堅果塔-海苔,1,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,10,B5,堅果塔-咖哩,1,個,是,,,,,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,11,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,12,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,13,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,14,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,雙塔禮盒,禮盒,禮盒,gift_box,L10001,15,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,1,A1,豆塔-蔓越莓,15,個,是,,,,,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,2,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,3,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,4,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,5,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,蔓越莓禮盒,禮盒,禮盒,gift_box,L10002,6,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,1,A1,豆塔-蔓越莓,3,個,是,,,,,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,2,A2,豆塔-焦糖,3,個,是,,,,,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,3,A3,豆塔-巧克力,3,個,是,,,,,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,4,A4,豆塔-抹茶,3,個,是,,,,,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,5,A5,豆塔-椒麻,3,個,是,,,,,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,6,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,7,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,8,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,9,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜豆禮盒,禮盒,禮盒,gift_box,L10003,10,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,1,B1,堅果塔-蜂蜜,3,個,是,,,,,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,2,B2,堅果塔-焦糖,3,個,是,,,,,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,3,B3,堅果塔-巧克力,3,個,是,,,,,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,4,B4,堅果塔-海苔,3,個,是,,,,,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,5,B5,堅果塔-咖哩,3,個,是,,,,,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,6,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,7,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,8,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,9,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,綜堅禮盒,禮盒,禮盒,gift_box,L10004,10,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
停售,晴空塔餅禮盒,禮盒,禮盒,gift_box,L10005,,,,,,,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,1,C1001,瓦片-原味-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,2,C2001,瓦片-紅茶-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,3,C3001,瓦片-巧克力-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,4,Q1001,奶油-焦糖牛奶-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,5,Q2001,奶油-法國巧克力-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,6,Q3001,奶油-蜂蜜檸檬-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,7,G1001,西點-巧克力貝殼-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,8,G2001,西點-咖啡小花-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,9,G3001,西點-藍莓小花-單片,4,片,是,,,,,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,10,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,11,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,12,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,13,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,暖暖幸福禮盒,禮盒,禮盒,gift_box,L10006,14,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,1,A1,豆塔-蔓越莓,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,2,A2,豆塔-焦糖,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,3,A3,豆塔-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,4,A4,豆塔-抹茶,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,5,A5,豆塔-椒麻,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,6,B1,堅果塔-蜂蜜,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,7,B2,堅果塔-焦糖,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,8,B3,堅果塔-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,9,B4,堅果塔-海苔,1,個,是,,,,,,,,,
