原料代碼,原料名稱,原料類型,採購單位,庫存單位,生產單位,是否批次追蹤,是否效期追蹤,狀態,生效日,失效日,停用原因,來源建立方式,來源分類,來源列號,原始品項名稱,備註
RM0026,梅原糖漬檸檬皮,冷藏食材類,盒,盒,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,29,梅原糖漬檸檬皮1kg/盒,來源表未填完整單位，先按散單位盒處理
RM0027,細砂糖,糖鹽甜味劑類,大袋,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,31,"細砂糖2kg/包,20kg/大袋",
RM0028,海藻糖,糖鹽甜味劑類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,32,"海藻糖1kg/包,24kg/箱",
RM0029,棉花糖,糖鹽甜味劑類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,33,"棉花糖1kg/包,5kg/箱",
RM0030,龍眼蜜,糖鹽甜味劑類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,34,龍眼蜜3kg/罐,
RM0031,蔗糖,糖鹽甜味劑類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,35,蔗糖3kg/罐,
RM0032,轉化糖漿,糖鹽甜味劑類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,36,轉化糖漿4kg/罐,
RM0033,貳砂糖(黃砂糖),糖鹽甜味劑類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,37,貳砂糖(黃砂糖)1kg/包,
RM0034,黑糖,糖鹽甜味劑類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,38,黑糖450g/包,
RM0035,玫瑰鹽,糖鹽甜味劑類,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【糖+鹽類】,39,玫瑰鹽1kg/包,
RM0036,昭和麵粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,41,昭和麵粉25kg/包,
RM0037,可可粉,粉類香辛類,包,袋,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,42,*可可粉1kg/包 | 巧克力瓦片-分裝360g/包,正式分裝單位收斂為袋；採購單位保留包
RM0038,伯爵紅茶葉,粉類香辛類,包,袋,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,43,*伯爵紅茶葉1kg/包 | 紅茶瓦片-分裝120g/包,正式分裝單位收斂為袋；採購單位保留包
RM0039,日本抹茶粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,47,日本抹茶粉1kg/包,
RM0040,抹茶風味粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,48,抹茶風味粉1kg/包,
RM0041,脫脂奶粉,粉類香辛類,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,49,脫脂奶粉2.25kg/包,
RM0042,洋菜粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,50,洋菜粉600g/包,
RM0043,海苔粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,51,海苔粉200g/包,
RM0044,紅辣椒粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,52,紅辣椒粉1kg/包,
RM0045,黑胡椒粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,53,黑胡椒粉1kg/包,
RM0046,紅椒粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,54,紅椒粉1kg/包,
RM0047,花椒粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,55,花椒粉1kg/包,
RM0048,蒜粉,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,56,蒜粉1kg/包,
RM0049,青花椒粒,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,57,青花椒粒500g/包,
RM0050,紅花椒粒,粉類香辛類,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【粉類】,58,紅花椒粒500g/包,
RM0051,泡打粉,食品添加劑,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【食品添加劑】,60,泡打粉1.5kg/包,
RM0052,己二烯酸鉀N,食品添加劑,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【食品添加劑】,61,己二烯酸鉀N1kg/包,
RM0053,寶鮮151,食品添加劑,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【食品添加劑】,62,寶鮮151 1kg/包,
